[0416/175431.776:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0418/114349.447:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0418/114349.447:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0418/114349.463:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0418/152739.483:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0418/152739.498:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0418/152739.608:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0418/152739.717:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0418/152739.781:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/111950.596:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/112136.482:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/112136.503:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/112525.968:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112525.968:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.036:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.036:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.050:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.052:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.053:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.053:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.053:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.085:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.085:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.136:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.188:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.190:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.190:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.209:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.652:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.652:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.671:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.685:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.686:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.904:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.922:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/112526.924:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
